CONTAINER ID   IMAGE                                                  COMMAND                  CREATED          STATUS                      PORTS                                                                                          NAMES
6cfe66c04aec   sonixy-search-service                                  "dotnet Sonixy.SearcΓÇª"   28 minutes ago   Up 28 minutes               0.0.0.0:5016->8096/tcp, [::]:5016->8096/tcp                                                    sonixy-search
4328e543890b   sitruyen-strapi                                        "docker-entrypoint.sΓÇª"   13 hours ago     Up 36 minutes (unhealthy)   0.0.0.0:1337->1337/tcp, [::]:1337->1337/tcp                                                    sitruyen-strapi
c065db009373   sonixy-post-service                                    "dotnet Sonixy.PostSΓÇª"   20 hours ago     Up 36 minutes               0.0.0.0:5010->8090/tcp, [::]:5010->8090/tcp, 0.0.0.0:5110->8190/tcp, [::]:5110->8190/tcp       sonixy-post
14f8b896672a   sonixy-user-service                                    "dotnet Sonixy.UserSΓÇª"   20 hours ago     Up 36 minutes               0.0.0.0:5009->8089/tcp, [::]:5009->8089/tcp, 0.0.0.0:5109->8189/tcp, [::]:5109->8189/tcp       sonixy-user
71e5cf794768   sonixy-gateway                                         "dotnet Sonixy.GatewΓÇª"   21 hours ago     Up 36 minutes               0.0.0.0:5100->8100/tcp, [::]:5100->8100/tcp                                                    sonixy-gateway
3e52e78ec831   sonixy-feed-service                                    "dotnet Sonixy.FeedSΓÇª"   21 hours ago     Up 36 minutes               0.0.0.0:5013->8093/tcp, [::]:5013->8093/tcp                                                    sonixy-feed
dbf5d9808363   sonixy-identity-service                                "dotnet Sonixy.IdentΓÇª"   21 hours ago     Up 36 minutes (unhealthy)   0.0.0.0:5008->8088/tcp, [::]:5008->8088/tcp                                                    sonixy-identity
d0a84c3512a8   sonixy-analytics-service                               "dotnet Sonixy.AnalyΓÇª"   21 hours ago     Up 36 minutes               0.0.0.0:5012->8092/tcp, [::]:5012->8092/tcp                                                    sonixy-analytics
f222a17fd226   sonixy-notification-service                            "dotnet Sonixy.NotifΓÇª"   21 hours ago     Up 36 minutes               0.0.0.0:5014->8094/tcp, [::]:5014->8094/tcp                                                    sonixy-notification
83e79bfc2c47   sonixy-chat-service                                    "dotnet Sonixy.ChatSΓÇª"   21 hours ago     Up 36 minutes               0.0.0.0:5015->8095/tcp, [::]:5015->8095/tcp, 0.0.0.0:5195->8195/tcp, [::]:5195->8195/tcp       sonixy-chat
2e2d55e068c9   sonixy-email-service                                   "dotnet Sonixy.EmailΓÇª"   21 hours ago     Up 36 minutes                                                                                                              sonixy-email
8fa6dbc1c646   sonixy-social-service                                  "dotnet Sonixy.SociaΓÇª"   21 hours ago     Up 36 minutes               0.0.0.0:5011->8091/tcp, [::]:5011->8091/tcp                                                    sonixy-social
c0f146efb664   cloudflare/cloudflared:latest                          "cloudflared --no-auΓÇª"   21 hours ago     Up 36 minutes                                                                                                              sonixy-tunnel
2b939aaf8a12   adminer:latest                                         "entrypoint.sh dockeΓÇª"   7 days ago       Up 36 minutes               0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp                                                    database-adminer
d67c7dfbde3f   mongo-express:latest                                   "/sbin/tini -- /dockΓÇª"   7 days ago       Up 36 minutes               0.0.0.0:8081->8081/tcp, [::]:8081->8081/tcp                                                    database-mongo-express
99f130844b54   postgres:16-alpine                                     "docker-entrypoint.sΓÇª"   7 days ago       Up 36 minutes (healthy)     0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp                                                    database-postgres
85d419f9082f   mongo:7.0                                              "docker-entrypoint.sΓÇª"   7 days ago       Up 36 minutes (healthy)     27017/tcp                                                                                      database-mongodb
7b1f900ba0d3   mysql:8.0                                              "docker-entrypoint.sΓÇª"   7 days ago       Up 36 minutes (healthy)     3306/tcp, 33060/tcp                                                                            database-mysql
6c8e8ffd02bc   mcr.microsoft.com/mssql/server:2022-latest             "/opt/mssql/bin/launΓÇª"   7 days ago       Up 36 minutes (healthy)     1433/tcp                                                                                       database-sqlserver
0b846ddca42d   redis:latest                                           "docker-entrypoint.sΓÇª"   7 days ago       Up 35 minutes (healthy)     0.0.0.0:6379->6379/tcp, [::]:6379->6379/tcp                                                    tools-redis
5631f4e70c08   rabbitmq:3-management                                  "docker-entrypoint.sΓÇª"   7 days ago       Up 36 minutes (healthy)     0.0.0.0:5673->5672/tcp, [::]:5673->5672/tcp, 0.0.0.0:15673->15672/tcp, [::]:15673->15672/tcp   tools-rabbitmq
a4387181d99d   minio/minio                                            "/usr/bin/docker-entΓÇª"   7 days ago       Up 35 minutes (healthy)     0.0.0.0:9100->9000/tcp, [::]:9100->9000/tcp, 0.0.0.0:9102->9001/tcp, [::]:9102->9001/tcp       tools-minio
a2bff04b0571   docker.elastic.co/elasticsearch/elasticsearch:8.11.0   "/bin/tini -- /usr/lΓÇª"   7 days ago       Up 35 minutes (healthy)     0.0.0.0:9200->9200/tcp, [::]:9200->9200/tcp                                                    tools-elasticsearch
95ab9050509d   getmeili/meilisearch:latest                            "tini -- /bin/sh -c ΓÇª"   2 weeks ago      Up 35 minutes (healthy)     0.0.0.0:7700->7700/tcp, [::]:7700->7700/tcp                                                    meilisearch
